WKT,Name,Website,Category,Image #1,Image #2,Image #3,Description,Webcam,UV,SLAG,Common Finds,Rare Finds,Restroom,Off-Road,Limited Parking,Park Pass,Handicap,Dog Friendly,Video #1,Video #2,Video #3
POINT (-85.62807717913017 46.6766048538908),Muskallonge Lake State Park,https://www.michigan.org/property/muskallonge-lake-state-park,Beach,"http://cdn.michiganrockhounds.com/files/Map%20Images/Muskallong/20220610_164501.jpg,Cody Wiedenbein","http://cdn.michiganrockhounds.com/files/Map%20Images/Muskallong/20220610_164514.jpg,Cody Wiedenbein","http://cdn.michiganrockhounds.com/files/Map%20Images/Muskallong/20220610_164459.jpg,Cody Wiedenbein","Across the road from the campground, this beach is packed with beautiful rocks as far as the eye can see. Many agate hunters call this their stomping grounds, while yooperlite hunters claim the nights.",,Yes,No,"Granite, Chert, Omar, Unakite, Quartz, Gneiss, Rhyolite, Basalt,","Lake Superior Agate, Yooperlite",Yes,No,No,Yes,No,No,https://youtu.be/d5lpmOw2M0w,https://youtu.be/FTAv1QjFkRw,
POINT (-83.3246235 44.8551446),Negwegon State Park,https://www2.dnr.state.mi.us/parksandtrails/Details.aspx?type=SPRK&id=476,Beach,"http://cdn.michiganrockhounds.com/files/Map%20Images/Negwegon%20State%20Park/Screen%20Shot%202022-06-07%20at%2011.38.27%20AM%20-%20Robert%20Abram.jpeg,Rob Abram (Michigan Rocks)","http://cdn.michiganrockhounds.com/files/Map%20Images/Negwegon%20State%20Park/Negwegon%20-%20Robert%20Abram.jpg,Rob Abram (Michigan Rocks)","http://cdn.michiganrockhounds.com/files/Map%20Images/Negwegon%20State%20Park/Screen%20Shot%202022-06-07%20at%2011.39.02%20AM%20-%20Robert%20Abram.jpeg,Rob Abram (Michigan Rocks)","Negwegon State park has a beautiful sandy and rocky beaches, hiking trails and a few backcountry campsites. You have to walk almost a mile to the north to get to the first rocks. The beach to the south is sandy.",,No,No,"Puddingstone, Petoskey Stone, granite, Gneiss, Quartz, Gowganda Tillite,  Charlevoix Stone",,Yes,No,No,Yes,Yes,No,https://youtu.be/ghXeqtjjtKs,https://youtu.be/98qD13QZlkU,https://youtu.be/yzX0_E1ylaE
POINT (-81.52773549999999 41.6148377),Noble Beach,https://www.theswimguide.org/beach/1337,Beach,,,,,,No,No,,,,,,,,,,,
POINT (-85.7595914 45.0260234),North Beach,https://leelanau.com/leland-beaches/,Beach,"http://cdn.michiganrockhounds.com/files/Map%20Images/North%20Beach/20220910_133550.jpg,Cody Wiedenbein","http://cdn.michiganrockhounds.com/files/Map%20Images/North%20Beach/20220910_133605.jpg,Cody Wiedenbein","http://cdn.michiganrockhounds.com/files/Map%20Images/North%20Beach/20220910_133616.jpg,Cody Wiedenbein","Very sandy beach but nice rocks in the water including leland blues, petoskey's and unakite.",https://www.youtube.com/watch?v=s7sY1waeOf4,No,Yes,"Petoskey Stone, Unakite, Stromatoporoid, Charlevoix Stone, Horn Coral, Stromatolite, Granite, Quartz","Mary Ellen Jasper, Hematite, Lake Superior Agate, Cold Water Agate, Leland Blue, Yooperlite",No,No,Yes,No,No,Yes,https://www.youtube.com/watch?v=7yYF-TWaDGM,,
POINT (-86.2465613 44.427559),Old Facefull,https://www.visitmanisteecounty.com/web-2-0-directory/old-facefull,Beach,"https://cdn.michiganrockhounds.com/files/Map%20Images/Old%20Facefull/20211024_102845%20-%20Shelly%20Meyer.jpg,Shelly Meyer","https://cdn.michiganrockhounds.com/files/Map%20Images/Old%20Facefull/20211024_103239%20-%20Shelly%20Meyer.jpg,Shelly Meyer",,Easy parking area. Amount of stones seem to vary with the wave action. Easy access down a slight incline. Old Facefull is actually a spring located in the parking area. Fill your water bottle!,,No,No,"Quartz, Unakite, Petoskey Stone, Charlevoix Stone",,No,No,No,No,No,No,,,
POINT (-85.4898692 44.9899901),Old Mission State Park,https://www.michigantrailmaps.com/member-detail/old-mission-point-park/,Beach,,,,,,No,No,,,Yes,No,No,No,No,Yes,,,
POINT (-85.6754918 45.1129711),Onomonee Road Beach,https://www.michiganwatertrails.org/location.asp?ait=av&aid=630,Beach,,,,"Onomonee Road Beach is a perfect little shoreline to find all sorts of fantasy fossils. From large to small, stromatolites and petoskey stones, you won't be disappointed. ",,No,No,"Charlevoix Stone, Stromatolite, Stromatoporoid, Fossil Soup, Chert",Petoskey Stone,No,No,Yes,No,No,Yes,,,
POINT (-86.3152884 44.2817026),Orchard Beach State Park,https://www2.dnr.state.mi.us/parksandtrails/details.aspx?id=480&type=SPRK,Beach,,,,,,No,No,,,Yes,No,No,Yes,No,Yes,,,
POINT (-83.4321964 45.0077899),Partridge Point,http://www.us23heritageroute.org/location.asp?ait=av&aid=4961,Beach,"http://cdn.michiganrockhounds.com/files/Map%20Images/Partridge%20Point/20220608_095057.jpg,Cody Wiedenbein","http://cdn.michiganrockhounds.com/files/Map%20Images/Besser%20Natural%20Area/20220608_095408.jpg,Cody Wiedenbein","http://cdn.michiganrockhounds.com/files/Map%20Images/Partridge%20Point/20220608_094850.jpg,Cody Wiedenbein","Partridge Point is a small park near Alpena with lots of fossils. The beach is literally covered with fossils. You will want trail along the north western shoreline for the exposed fossils. Water is (depending on the time of year) ankle deep for as far as you can walk out. Crinoid stems collect in cracks and empty voids in the water, bring some goggles to go looking!",,No,No,"Crinoid Stem, Crinoid, Brachiopod, Horn Coral,",Blastoid,No,No,Yes,No,No,Yes,https://youtu.be/qHK2yTHP_hU,https://youtu.be/dqt8lkJhwbU,
POINT (-87.8197509 42.60414730000001),Pennoyer Park,https://www.visitkenosha.com/listing/pennoyer-park-and-beach/347/,Beach,,,,,,No,No,,,Yes,No,No,No,Yes,No,,,
POINT (-81.7395774 41.48921730000001),Perkins Beach,https://www.clevelandmetroparks.com/parks/visit/parks/lakefront-reservation/perkins-beach,Beach,,,,Please keep in mind that swimming here is not permitted.,,No,No,,,Yes,No,No,No,Yes,No,,,
POINT (-85.6467067 45.1539031),Peterson Park,https://visitleelanaucountymichigan.com/stories/peterson_park_northport,Beach,"http://cdn.michiganrockhounds.com/files/Map%20Images/Peterson%20Park/DSCN0894%20-%20rich%20groesbeck.JPG,Rich Groesbeck","http://cdn.michiganrockhounds.com/files/Map%20Images/Peterson%20Park/DSCN0129%20-%20rich%20groesbeck.JPG,Rich Groesbeck","http://cdn.michiganrockhounds.com/files/Map%20Images/Peterson%20Park/peterson%20park%20stones%20-%20rich%20groesbeck.jpg,Rich Groesbeck",,,No,No,"Petoskey Stone, Chert","Unakite, Charlevoix Stone",Yes,No,No,No,No,Yes,,,
POINT (-86.226674 42.58587009999999),Pier Cove Park,https://www.miroadtrip.com/pier-cove,Beach,"https://cdn.michiganrockhounds.com/files/Map%20Images/Pier%20Cove%20park/inbound7390490868637074751%20-%20Pam%20Morey.jpg,Pam Morey",,,,,Yes,Yes,"Lightning Stone, Quartz, Unakite, Horn Coral, Chert","Yooperlite, Crinoid Calyx, Slag",Yes,No,Yes,No,No,Yes,,,
POINT (-86.2986977 42.35266850000001),Pilgrim Haven Natural Area,https://swmlc.org/project/pilgrim-haven-natural-area/,Beach,"https://cdn.michiganrockhounds.com/files/Map%20Images/Pilgrim%20Haven%20Natural%20Area/inbound8492884185632202655%20-%20Pam%20Morey.jpg,Pam Morey","https://cdn.michiganrockhounds.com/files/Map%20Images/Pilgrim%20Haven%20Natural%20Area/Screenshot%202022-11-22%20at%2010.11.11%20AM%20-%20Robert%20Abram.png,Rob Abram (Michigan Rocks)","https://cdn.michiganrockhounds.com/files/Map%20Images/Pilgrim%20Haven%20Natural%20Area/Screenshot%202022-11-22%20at%2010.10.33%20AM%20-%20Robert%20Abram.png,Rob Abram (Michigan Rocks)",Pilgrim Haven is a really nice beach with a sidewalk all the way to the beach. It should be easy to get to the beach for anyone who is in a wheelchair.,,Yes,Yes,"Lightning Stone, Quartz, Unakite,  Horn Coral, Crinoid Calyx, Chert","Petoskey Stone, Cold Water Agate, Yooperlite, Slag, Crinoid Calyx",Yes,No,No,No,Yes,Yes,https://www.youtube.com/watch?v=AMO69Z0Ljdw,,
POINT (-86.25524999999999 44.6912923),Point Betsie Lighthouse,https://pointbetsie.org/,Beach,"https://cdn.michiganrockhounds.com/files/Map%20Images/Point%20Betsie%20Lighthouse/20220622_100721%20-%20Shelly%20Meyer.jpg,Shelly Meyer","https://cdn.michiganrockhounds.com/files/Map%20Images/Point%20Betsie%20Lighthouse/20190621_142615%20-%20Shelly%20Meyer.jpg,Shelly Meyer","https://cdn.michiganrockhounds.com/files/Map%20Images/Point%20Betsie%20Lighthouse/20220622_100711%20-%20Shelly%20Meyer.jpg,Shelly Meyer",Point Bestie always seems to have a nice variety of rocks and fossils to collect. Easy access to the beach.,https://harborlightsresort.net/webcams/,Yes,No,"Petoskey Stone, Chert, Chain Coral, Granite, Unakite, Crinoid, Brachiopod, Horn Coral, Charlevoix Stone","Jasper, Cold Water Agate, Lake Superior Agate, Yooperlite",No,No,Yes,No,No,Yes,,,
POINT (-84.6323626 46.4842887),Point Iroquois Lighthouse,https://www.fs.usda.gov/recarea/hiawatha/recarea/?recid=13342,Beach,"https://cdn.michiganrockhounds.com/files/Map%20Images/Point%20Iroquois%20Lighthouse/PXL_20220820_201844373.MP%20-%20Teddy%20Jones.jpg,Teddy Jones","https://cdn.michiganrockhounds.com/files/Map%20Images/Point%20Iroquois%20Lighthouse/PXL_20220820_210214943%20-%20Teddy%20Jones.jpg,Teddy Jones",,Iroquois Point lighthouse is a scenic location. It has some board walk trails into the woods as well as a walkable beach. There is plenty of parking and bathrooms available.,,No,No,,"Lake Superior Agate, Yooperlite",Yes,No,No,No,Yes,No,,,
POINT (-82.793258 44.02285),Pointe Aux Barques Lighthouse,https://pointeauxbarqueslighthouse.org/,Beach,,,,,,No,No,,,,,,,,,,,
POINT (-83.06951939999999 44.00159550000001),Port Crescent State Park,https://www.michigandnr.com/ParksandTrails/Details.aspx?id=486&type=SPRK,Beach,,,,,,No,No,,,Yes,No,No,Yes,Yes,Yes,,,
POINT (-87.8630586 43.39589049999999),Port Washington North Beach Park,https://www.theswimguide.org/beach/772,Beach,,,,,,No,No,,,,,,,,,,,
POINT (-80.1149411 42.1585823),Presque Isle State Park,https://www.dcnr.pa.gov/StateParks/FindAPark/PresqueIsleStatePark/Pages/default.aspx,Beach,,,,,,No,No,,,Yes,No,No,Yes,No,No,,,
POINT (-87.7807054 42.7400794),Racine North Beach,https://www.cityofracine.org/NorthBeach/,Beach,,,,,,No,No,,,,,,,,,,,
POINT (-83.38433244603716 45.20226586950817),Rockport State Park,https://www2.dnr.state.mi.us/parksandtrails/Details.aspx?type=SPRK&id=729,Quarry,"https://cdn.michiganrockhounds.com/files/Map%20Images/Rockport%20State%20Recreation%20Area/271195910_292720306156223_5357913852614634270_n.jpg,Craig McClarren","https://cdn.michiganrockhounds.com/files/Map%20Images/Rockport%20State%20Recreation%20Area/217726698_10225969080558430_6153010932470808800_n.jpg,Tyler Owen","http://cdn.michiganrockhounds.com/files/Map%20Images/Rockport%20State%20Recreation%20Area/Screen%20Shot%202022-06-07%20at%2011.03.28%20AM%20-%20Robert%20Abram.jpeg,Rob Abram (Michigan Rocks)",Rockport is an old limestone quarry on Lake Huron. There are many Devonian fossils in the quarry and on the beach. Behind the quarry are about a dozen sinkholes to explore.,,No,No,"Petoskey Stone, Brachiopod, Horn Coral, Favosite, Cladopora, Bryzoan, Stromatoporoid","Gastropod, Trilobite, Placodermi",Yes,No,No,Yes,No,No,https://www.youtube.com/watch?v=HQVL64-vg4o,https://youtu.be/DH6-oeny4qI,https://youtu.be/kcQrU6l9DMI
POINT (-86.4660344 42.1343557),Rocky Gap Park,https://www.berriencounty.org/1300/Rocky-Gap-County-Park,Beach,"https://cdn.michiganrockhounds.com/files/Map%20Images/Rocky%20Gap%20Park/PXL_20220729_233408017%20-%20Teddy%20Jones.jpg, Teddy Jones",,,"Rocky Gap is a small beach, connected to several others, perfect for the rockhound who loves the water & digging alike. Come early!",,Yes,Yes,"Petoskey Stone, Unakite, Quartz, Crinoid, Lightning Stone","Charlevoix Stone, Horn coral, Chain Coral, Syringapora, Brachiopod, Cladopora, Yooperlite",Yes,No,Yes,No,Yes,No,,,
POINT (-82.5340605 43.31554709999999),Sanilac County Lexington Park,https://www.sanilaccountyparks.com/lexington-park/,Beach,,,,,,No,No,,,Yes,No,No,No,No,No,,,
POINT (-83.8374954 45.4334365),Seagull Point Park,https://www.rogerscity.com/seagull-point-park.html,Beach,,,,"A beautiful, mile long of rocky shoreline that overlooks Lake Huron. Toilet facilities are only available in the usmmer, and the beach is accessible to most via an access ramp.",,No,No,,,Yes,No,No,No,Yes,Yes,,,
POINT (-87.5007815 44.4559433),Selner Park,https://www.travelwisconsin.com/beaches-pools/selner-park-beach-294249,Beach,,,,,,No,No,,,Yes,No,No,No,No,No,,,
POINT (-81.523556 41.6165219),Sims Beach,https://ohiodnr.gov/go-and-do/see-the-sights/lake-erie-birding-trail/cleveland-area-loop/sims-park,Beach,,,,"Sims Beach, located in the Kenneth J. Sims Park, is one of the best rockhounding spots this side of Lake Erie. Just note that you aren't supposed to swim here as it is not a designated swimming beach due to the poor water quality.",,Yes,No,,,Yes,No,No,No,Yes,Yes,,,
POINT (-83.5686339 44.1431583),Singing Bridge Public Access,https://www.michiganwatertrails.org/location.asp?ait=av&aid=1749,Beach,"http://cdn.michiganrockhounds.com/files/Map%20Images/Singing%20Bridge/20220607_171629.jpg,Cody Wiedenbein","http://cdn.michiganrockhounds.com/files/Map%20Images/Singing%20Bridge/20220607_171850.jpg,Cody Wiedenbein","http://cdn.michiganrockhounds.com/files/Map%20Images/Singing%20Bridge/20220607_171958.jpg,Cody Wiedenbein","This lake access has a wide variety of sought after rocks and fossils. Parking is accomodating, but the access is fairly small. While many rocks are kicked up on the shores, greater treasures await those that venture out and into the waters, bring a snorkel!",,No,No,"Petoskey Stone, Charlevoix Stone, Gneiss, Granite, Puddingstone, Horn Coral, Fossil Soup, Jasper, Chert, Quartz","Cold Water Agate, Mary Ellen Jasper, Crinoid, Hematite, Stromatoporoid, Brachiopod, Pyrite",Yes,No,No,No,Yes,No,,,
POINT (-83.2102189 43.9789761),Sleeper State Park,https://www2.dnr.state.mi.us/parksandtrails/details.aspx?id=494&type=SPRK,Beach,,,,,,No,No,,,Yes,No,No,Yes,No,Yes,,,
POINT (-87.88246099999999 42.99559199999999),South Shore Park,https://www.rogerscity.com/south-shore-park.html,Beach,,,,,,No,No,,,,,,,,,,,
POINT (-82.7098702 43.9435442),Stafford County Park,https://huroncountyparks.com/stafford-county-park,Beach,,,,,,No,No,,,,,,,,,,,
POINT (-84.9530898 45.70266850000001),Sturgeon Bay Beach,https://petoskeyarea.com/places/sturgeon-bay-beach/,Beach,,,,,,No,No,,,,,,,,,,,
POINT (-83.27269969999999 44.7127158),Sturgeon Point Lighthouse,http://www.alconahistoricalsociety.com/,Beach,"http://cdn.michiganrockhounds.com/files/Map%20Images/Sturgeon%20Point/20220608_090019.jpg,Cody Wiedenbein","http://cdn.michiganrockhounds.com/files/Map%20Images/Sturgeon%20Point/20220608_085545.jpg,Cody Wiedenbein","http://cdn.michiganrockhounds.com/files/Map%20Images/Sturgeon%20Point/20220608_085551.jpg,Cody Wiedenbein","This is an historic lighthouse with a rocky beach in front. You don't have to go into the lighthouse property, but can park at the end of Point Road for beach access. The lighthouse has restrooms.",,No,No,"Granite, Chert, Fossils, Limestone, Quartz","Petoskey Stone, Puddingstones",Yes,No,No,Yes,Yes,No,https://youtu.be/roKD6QxpaW4,,
POINT (-86.43207727279245 43.8559663066631),Summit Park,https://summittownship.org/rentals-attractions/summit-park-pavilion-rental/,Beach,,,,Small beach area with a steep incline for the return up. Running water restrooms and a small playground at the upper level.,,No,No,"Petoskey Stone, charlevoix stones, agates, fossils.",,Yes,No,No,No,No,Yes,,,
POINT (-86.3611741 44.2070348),Sundling Park,https://www.visitmanisteecounty.com/web-2-0-directory/magoon-creek-sundling-park,Beach,,,,,,No,No,,,Yes,No,No,No,Yes,Yes,,,
POINT (-85.6484728 44.9773556),Suttons Bay Beach,https://www.traversecity.com/listings/suttons-bay-beach/425/,Beach,,,,,,No,No,,,,,,,,,,,
POINT (-83.44796699999999 44.2544174),Tawas Point State Park,https://www.michigan.org/property/tawas-point-state-park,Beach,,,,,,No,No,"Quartz, Granite, Gneiss, Puddingstone","Petoskey Stone, Jasper, Brachiopod",Yes,No,No,Yes,Yes,No,,,
POINT (-85.7644796 45.01964460000001),Hidden Beach,https://leelanau.com/leland-beaches/,Beach,"http://cdn.michiganrockhounds.com/files/Map%20Images/Hidden%20Beach/Hiddenbeach2.jpg,Shelly Meyer","http://cdn.michiganrockhounds.com/files/Map%20Images/Hidden%20Beach/hiddenbeach3.jpg,Shelly Meyer","http://cdn.michiganrockhounds.com/files/Map%20Images/Hidden%20Beach/HiddenBeach.jpg,Shelly Meyer","Also known as Thompson Street Beach, Hidden Beach can be found at the end of Thompson Street. The beach itself is situated between several residential properties that break up the total public stretch of Van's Beach and Hidden Beach. Park alongside West Street or at South Beach and walk further north.",https://www.youtube.com/watch?v=s7sY1waeOf4,Yes,Yes,"Leland Blue, Petoskey Stone, Unakite, Quartz, Granite, Jasper, Chert, Charlevoix Stone, Banded Chert, Horn Coral","Chain Coral, Mary Ellen Jasper, Yooperlite, Lake Superior Agate, Cold Water Agate",No,No,Yes,No,No,Yes,https://www.youtube.com/watch?v=IQYCAd3y2RI,https://www.youtube.com/watch?v=iqCB-WGUIJs,https://www.youtube.com/watch?v=nxxA5s3Yv1g
POINT (-83.619851 45.35195259999999),Thompson's Harbor State Park,https://www.visitalpena.com/visit-alpena/thompsons-harbor-state-park/,Beach,"http://cdn.michiganrockhounds.com/files/Map%20Images/Thompson%20Harbor/20220608_114931.jpg,Cody Wiedenbein","http://cdn.michiganrockhounds.com/files/Map%20Images/Thompson%20Harbor/20220608_115349.jpg,Cody Wiedenbein","http://cdn.michiganrockhounds.com/files/Map%20Images/Thompson%20Harbor/20220608_115002.jpg,Cody Wiedenbein",,,No,No,"Granite, Gneiss, Quartz, Stromatolite",,Yes,No,No,Yes,No,No,,,
POINT (-85.4226295 46.69806709999999),Two Hearted River State Forest Campground,https://www2.dnr.state.mi.us/parksandtrails/details.aspx?id=677&type=SFCG,Beach,"http://cdn.michiganrockhounds.com/files/Map%20Images/Two%20Hearted/20220610_185719.jpg,Cody Wiedenbein","http://cdn.michiganrockhounds.com/files/Map%20Images/Two%20Hearted/20220610_185450.jpg,Cody Wiedenbein","http://cdn.michiganrockhounds.com/files/Map%20Images/Two%20Hearted/20220610_185602.jpg,Cody Wiedenbein","Mouth of the Two Hearted River is accessible through a bridge extending out from the Two Hearted River State Forest Campground. The drive requires a traverse through some sandy, dirt roads that vary in difficulty each year. Off-roading isn't required, but is recommended. The beach itself has a large variety of Upper Peninsula rocks, and is a prime beach for yooperlite collecting.",,Yes,No,"Unakite, Epidote, Chert, Gneiss, Granite, Jacobsville Sandstone, Quartz, Chalcedony, Rhyolite, Yooperlite, Amygaloidal Basalt, Omar, Hematite","Mary Ellen Jasper, Jasper, Jaspillite, Banded Iron Formation, Lake Superior Agate, Kona Dolomite",Yes,No,No,Yes,Yes,No,https://www.youtube.com/watch?v=u7-eLu-9N7c,https://www.youtube.com/watch?v=yIp4BWau030,
POINT (-89.6400293 46.8198972),Union Bay Campground,https://www.michigandnr.com/parksandtrails/Details.aspx?id=74&type=SPCG,Beach,,,,,,Yes,No,,,Yes,No,No,Yes,No,No,,,
POINT (-86.3005955 42.3345576),Van Buren State Park,https://www.michigandnr.com/parksandtrails/details.aspx?id=502&type=SPRK,Beach,,,,,,No,Yes,,Yooperlite,Yes,No,No,Yes,No,No,,,
POINT (-85.76246619999999 45.0222705),Van's Beach,https://leelanauconservancy.org/naturalarea/hall-beach/,Beach,"http://cdn.michiganrockhounds.com/files/Map%20Images/Van_s%20Beach/20220704_082157.jpg,Cody Wiedenbein","http://cdn.michiganrockhounds.com/files/Map%20Images/Van_s%20Beach/20220704_082230.jpg,Cody Wiedenbein","http://cdn.michiganrockhounds.com/files/Map%20Images/Van_s%20Beach/20220704_135535.jpg,Cody Wiedenbein","Van's beach is a beautiful haven for rockhounds  and tourists alike. Settled in the small, cozy town of Leland,  this beach is home to the ever so popular glass slag material, the Leland Blue. Not only that, but this beach also carries a wide range of beautiul stones to collect as well. From agates, to Yooperlites, and petoskey stones; this beach has it all! Visitors will want to arrive early, however, as the beach fills quickly.",https://www.youtube.com/watch?v=s7sY1waeOf4,Yes,Yes,"Leland Blue, Petoskey Stone, Unakite, Quartz, Granite, Jasper, Chert, Charlevoix Stone, Banded Chert, Horn Coral","Chain Coral, Mary Ellen Jasper, Yooperlite, Lake Superior Agate, Cold Water Agate",Yes,No,Yes,No,Yes,Yes,https://www.youtube.com/watch?v=IQYCAd3y2RI,https://www.youtube.com/watch?v=iqCB-WGUIJs,https://www.youtube.com/watch?v=nxxA5s3Yv1g
POINT (-85.1489916 46.7630781),Vermilion Point,https://landtrust.org/explore/vermilion-point-nature-preserve/,Beach,"http://cdn.michiganrockhounds.com/files/Map%20Images/Vermilion%20Point/E2E664F3-40DC-496D-A50F-87D6BF48853A%20-%20Robert%20Abram.jpeg,Rob Abram (Michigan Rocks)","http://cdn.michiganrockhounds.com/files/Map%20Images/Vermilion%20Point/IMG_3727%20-%20Robert%20Abram.JPG,Rob Abram (Michigan Rocks)","http://cdn.michiganrockhounds.com/files/Map%20Images/Vermilion%20Point/IMG_3741%20-%20Robert%20Abram.JPG,Rob Abram (Michigan Rocks)","There was an old lifesaving station here and it’s now a nature preserve. The road is a little sandy.  I drive a Jeep and don’t need four wheel drive, but a few years ago, I talked to a group of women who turned their little car around because of the sand.  ",,Yes,No,"Omar, Chert, Granite, Unakite, Quartz",Lake Superior Agate,No,Yes,No,No,No,No,https://youtu.be/HDqFhYz3UVY,https://youtu.be/O5ntm3ciEc4,
POINT (-80.8079903 41.9003223),Walnut Beach Park,https://visitashtabulacounty.com/things-to-do/lake-erie-recreation/parks-beaches/walnut-beach/,Beach,,,,,,Yes,No,,,,,,,,,,,
POINT (-86.2301414 42.57393039999999),West Side County Park,https://www.michigan.org/property/west-side-park-allegan-county,Beach,,,,,,Yes,No,,,,,,,,,,,
POINT (-85.39862081938924 44.92482865558534),Wilcox-Palmer-Shaw Preserve,https://www.gtrlc.org/recreation-events/preserve/wilcox-palmer-shah-nature-preserve-2/,Beach,"http://cdn.michiganrockhounds.com/files/Map%20Images/Wilcox-Palmer-Shaw%20Preserve/IMG_7058%20-%20Niki%20Crow.jpg,Niki Crow","http://cdn.michiganrockhounds.com/files/Map%20Images/Wilcox-Palmer-Shaw%20Preserve/IMG_7063%20-%20Niki%20Crow.jpg,Niki Crow","http://cdn.michiganrockhounds.com/files/Map%20Images/Wilcox-Palmer-Shaw%20Preserve/IMG_7066%20%28002%29%20-%20Niki%20Crow.jpg,Niki Crow",Beautiful beach only the locals know about.,,No,Yes,"Chert, Quartz, Granite, Basalt","Petoskey Stone, Charlevoix Stone, unakite, Cold Water Agate",No,No,Yes,No,No,Yes,,,
POINT (-84.968731 45.757475),Wilderness State Park #26,https://www.michigan.org/property/wilderness-state-park,Beach,"http://cdn.michiganrockhounds.com/files/Map%20Images/Wilderness%20State%20Park%20%2326/20220608_164506.jpg,Cody Wiedenbein","http://cdn.michiganrockhounds.com/files/Map%20Images/Wilderness%20State%20Park%20%2326/20220608_164509.jpg,Cody Wiedenbein","http://cdn.michiganrockhounds.com/files/Map%20Images/Wilderness%20State%20Park%20%2326/20220608_170426.jpg,Cody Wiedenbein","Beautiful beach hidden away in the Wilderness State Park. The beach itself is heavy with stones with rockpicking as far the eye can see. The waters themselves are very shallow here, and remarkably clear. Make sure you take the #26 hiking trail access point as there are many other access points along Lake Michigan; but none are as great as the access point at #26.",,Yes,No,"Stromatolite, Jacobsville Sandstone,","Garnet Schist, Lake Superior Agate, Hematite, Gastropod",Yes,No,No,Yes,No,No,,,
POINT (-83.3422117 41.9214394),William C. Sterling State Park,https://www.michigandnr.com/parksandtrails/Details.aspx?id=497&type=SPRK,Beach,,,,,,No,No,,,Yes,No,No,Yes,Yes,No,,,
POINT (-88.40972 47.269444),Wolverine No. 2 Shaft,http://www.geo.mtu.edu/KeweenawGeoheritage/BlackLavas/Wolverine.html,Mine Dump,,,,,,No,No,"Epidote, Chlorite, Copper, Prehnite, Calcite,","Chlorastrolite, Copper Agate, Chrysocolla, Datolite, Malachite, Cuprite, Chisel Chip, Silver, Isle Royale Greenstone",No,No,Yes,No,No,No,,,